response,intent
upgraded,positive
courageously,positive
aver,positive
heresy,negative
frazzled,negative
grumpier,negative
amputate,negative
gladness,positive
languorously,negative
sourly,negative
hallucinate,negative
passionate,positive
smiling,positive
frets,negative
bumped,negative
pugnaciously,negative
licentious,negative
pleasurably,positive
fragrant,positive
creeps,negative
I'm feeling pretty good right now.,positive
warmhearted,positive
tauntingly,negative
convient,positive
laughably,negative
nervously,negative
lethal,negative
fairness,positive
inimical,negative
altercation,negative
perfidious,negative
incongruous,negative
priceless,positive
I love my mom,positive
perversion,negative
frantic,negative
abused,negative
scathing,negative
embroilment,negative
disaffirm,negative
crueler,negative
lonesome,negative
ruthless,negative
sweetness,positive
amazingly,positive
vilify,negative
grieving,negative
uncouth,negative
outperforms,positive
We had so much fun eating our tiffin food in class. That was epic,positive
raked,negative
stigmatize,negative
I am feeling egoisitic,negative
exalt,positive
heaven,positive
ultimatum,negative
genial,positive
agonizing,negative
impersonal,negative
unfulfilled,negative
backache,negative
nobly,positive
chafe,negative
undermining,negative
bedlam,negative
entice,positive
pitiable,negative
I hate being a part of my friends group!,negative
mesmerized,positive
miser,negative
gusto,positive
starkly,negative
mania,negative
unbiased,positive
I got fired,negative
insulted,negative
popular,positive
supporting,positive
chagrin,negative
irresponsible,negative
anguish,negative
decency,positive
self-serving,negative
well-made,positive
glitch,negative
brutalizing,negative
meaningless,negative
damaged,negative
mercilessly,negative
mishap,negative
passionately,positive
waning,negative
dragged,negative
brashly,negative
fanciful,negative
dubious,negative
disgustingly,negative
sturdy,positive
irritably,negative
Some elder boys are bullying me in school,negative
denied,negative
conservative,negative
panicked,negative
traitor,negative
raptureously,positive
whore,negative
complicit,negative
gaudy,negative
partiality,negative
absence,negative
peculiar,negative
prefer,positive
drags,negative
wieldy,positive
dies,negative
oblivious,negative
dissonantly,negative
happy,positive
fertile,positive
unaccustomed,negative
failing,negative
exhorbitant,negative
falsehood,negative
shrilly,negative
outcry,negative
unnerving,negative
gleefully,positive
cheer,positive
I am a disappointment to my parents as I have never caused them happiness,negative
fugitive,negative
awards,positive
defamations,negative
gutter,negative
acclaim,positive
embarrassing,negative
infirm,negative
undaunted,positive
bombardment,negative
tortuous,negative
defeating,positive
elegance,positive
enjoyable,positive
transgress,negative
urgent,negative
refund,positive
congested,negative
edify,positive
polarisation,negative
smelling,negative
My teacher appreciated me in the class today,positive
struggle,negative
anti-white,negative
calumnious,negative
tangled,negative
rejects,negative
devastating,negative
sinister,negative
I got a pet,positive
dope,negative
fustigate,negative
compact,positive
degenerate,negative
disgruntle,negative
foreboding,negative
doom,negative
wildly,negative
unwanted,negative
prominent,positive
slack,negative
compulsion,negative
nice,positive
needlessly,negative
disreputable,negative
felon,negative
I feel rejected by everyone in my office especially by my boss,negative
stall,negative
restrictive,negative
itchy,negative
invidiousness,negative
approve,positive
wounds,negative
screwed-up,negative
delirium,negative
acerbate,negative
rapid,positive
disinterest,negative
havoc,negative
My teacher loved my work,positive
deceiver,negative
ruining,negative
stupified,negative
beggar,negative
I love my dad,positive
refresh,positive
anomaly,negative
lier,negative
hostilities,negative
ungrateful,negative
freaks,negative
spoon-fed,negative
scenic,positive
disrespectful,negative
leverage,positive
betrayer,negative
unconstitutional,negative
mire,negative
affinity,positive
I am feeling glorious,positive
catastrophes,negative
fickle,negative
serenity,positive
distress,negative
I had a great good time in school today,positive
I am feeling disappointed,negative
repulsing,negative
easygoing,positive
I am feeling inspired,positive
I am ashamed of myself after I refused to help that elderly couple just because I thought what people will say,negative
thankless,negative
state-of-the-art,positive
lower-priced,positive
struck,negative
refinement,positive
debaser,negative
cannibal,negative
angel,positive
rock-stars,positive
heroically,positive
salutary,positive
qualified,positive
shortness,negative
restrict,negative
impressiveness,positive
lewdness,negative
unacceptably,negative
volatile,negative
dreary,negative
burden,negative
unneeded,negative
perilous,negative
doubts,negative
gratifies,positive
dissent,negative
freakish,negative
displace,negative
ruined,negative
celebrate,positive
earsplitting,negative
I am being bullied in my college due the fact that I am poor and no one takes my side even the the teachers are partial,negative
idol,positive
overwhelmingly,negative
dirtbags,negative
immoderate,negative
legendary,positive
retaliate,negative
agonize,negative
pimple,negative
best-performing,positive
timidity,negative
castrated,negative
ingenuously,positive
lags,negative
weaknesses,negative
energetic,positive
rabid,negative
screwed,negative
extort,negative
disclaim,negative
indignity,negative
facilitate,positive
less-developed,negative
stagnant,negative
raving,negative
inteferes,negative
madder,negative
abrade,negative
happily,positive
aghast,negative
cannibalize,negative
zealot,negative
proving,positive
hardhearted,negative
keenness,positive
issue-free,positive
immodest,negative
gaining,positive
uncomfortable,negative
tolerable,positive
fanatics,negative
concern,negative
unrestricted,positive
castigate,negative
gladly,positive
awfulness,negative
wane,negative
sane,positive
crisp,positive
inequitably,negative
stridently,negative
dogmatic,negative
I am feeling ecstatic,positive
encouraging,positive
exemplar,positive
enough,positive
I am feeling lost,negative
jealous,negative
drastic,negative
effusive,positive
belie,negative
idiotic,negative
I am feeling frustrated,negative
murderous,negative
fidelity,positive
I had the best day ever,positive
deprecate,negative
My teacher applauded me,positive
frightful,negative
foolishness,negative
easiness,positive
unequivocally,positive
drain,negative
exuberant,positive
neurotic,negative
blasphemy,negative
deadbeat,negative
thrifty,positive
protests,negative
zealously,negative
doomsday,negative
tops,positive
implicate,negative
douchebags,negative
weakening,negative
sue,negative
It feels so good taking a long vacation.,positive
right,positive
humble,positive
I feel like crying,negative
I am angry as I had a very bad argument with my teacher as she was not giving me good marks despite the fact that everything was correct,negative
botch,negative
disarm,negative
brimstone,negative
licentiousness,negative
negate,negative
incompliant,negative
intolerance,negative
demeaning,negative
inactive,negative
I feel like a champion.,positive
saint,positive
heavyhearted,negative
misrepresentation,negative
fervent,positive
rust,negative
sincerely,positive
desecrate,negative
unpleasantries,negative
hopeful,positive
gauche,negative
incoherently,negative
propaganda,negative
bitingly,negative
browbeat,negative
exhausted,negative
reputable,positive
unlawful,negative
faster,positive
exuberance,positive
admiring,positive
retaliatory,negative
bust,negative
cancer,negative
disgraceful,negative
excellant,positive
retractable,positive
hypocrite,negative
jeopardize,negative
favor,positive
inequalities,negative
flawless,positive
exhilarating,positive
tricky,negative
reforms,positive
lighter,positive
courageousness,positive
miscalculation,negative
disintegrates,negative
gawk,negative
impresses,positive
I am feeling fortunate,positive
harassment,negative
overtaking,positive
ebulliently,positive
prolific,positive
frustrating,negative
lame-duck,negative
breathlessness,positive
vivacious,positive
annoys,negative
astounding,positive
disregard,negative
chivalrous,positive
seamless,positive
unappealing,negative
fool,negative
vexing,negative
improper,negative
finicky,negative
savaged,negative
implication,negative
honoring,positive
glad,positive
liberty,positive
standstill,negative
insensible,negative
squeals,negative
anarchy,negative
unwillingly,negative
delightfully,positive
wreaks,negative
razor-sharp,positive
irresistible,positive
offending,negative
radicalization,negative
rivalry,negative
dead,negative
capsize,negative
Why am I getting bullied every now and then?,negative
champ,positive
examplary,positive
I am feeling purposeless,negative
deviation,negative
assuring,positive
effortless,positive
inadvisably,negative
it was the worst day ever as  I saw a puppy being ran over by a bus and the bus owner did not even paid attention to it,negative
bashing,negative
humor,positive
strangest,negative
naive,negative
complains,negative
ho-hum,negative
crooks,negative
loathsome,negative
fidgety,negative
mope,negative
conceded,negative
halfhearted,negative
progressive,positive
profoundly,positive
resound,positive
fractiously,negative
I enjoyed the whole day with my family,positive
I am feeling victimized,negative
inefficient,negative
insidiously,negative
pan,negative
roadblocks,negative
banish,negative
exceed,positive
compliment,positive
subservience,negative
clash,negative
incompetently,negative
tantalizingly,positive
god-send,positive
pleasingly,positive
scold,negative
loathsomely,negative
hedge,negative
snappish,negative
freedom,positive
lovelorn,negative
recessionary,negative
romantically,positive
suffocate,negative
idle,negative
disgraced,negative
damper,negative
harmony,positive
leaks,negative
I am feeling wonderful,positive
mismanage,negative
delirious,negative
lawbreaker,negative
forbidden,negative
thriving,positive
darling,positive
flirt,negative
misbegotten,negative
dumbfounding,positive
eruptions,negative
I am delighted with food being cooked today as it is my favourite and my comfort food,positive
mesmerizing,positive
skeptic,negative
disconcertingly,negative
striking,positive
meticulously,positive
obstinately,negative
ignorance,negative
dump,negative
discomfort,negative
astray,negative
egregiously,negative
wariness,negative
satisfies,positive
wows,positive
dismay,negative
blame,negative
trustworthy,positive
gladden,positive
insecure,negative
beneficially,positive
unfunded,negative
I am feeling depressed because there is nothing going right in my life. I am bad at everything ,negative
damages,negative
shit,negative
monstrosity,negative
difficulty,negative
wonderously,positive
garbage,negative
dissappointed,negative
battered,negative
pigs,negative
titillate,positive
satisfying,positive
fears,negative
excel,positive
dire,negative
unreasonably,negative
delight,positive
rival,negative
addicts,negative
disavowal,negative
maliciously,negative
disobey,negative
outsmart,positive
lurk,negative
indiscreetly,negative
stupendous,positive
unwillingness,negative
useless,negative
backwoods,negative
strain,negative
conspirator,negative
f**k,negative
grudges,negative
mediocre,negative
betrayals,negative
avidly,positive
exceptional,positive
slowed,negative
rebuff,negative
disapprove,negative
taboo,negative
instigator,negative
abuses,negative
purposeful,positive
inapt,negative
enthralled,positive
absurdity,negative
complaint,negative
stumbled,negative
vigilance,positive
I feel extremely happy,positive
I am feeling chaotic,negative
I am feeling demoralized,negative
humid,negative
antipathy,negative
fiction,negative
mercifully,positive
sneak,negative
mindlessly,negative
solid,positive
bugging,negative
jeers,negative
thrill,positive
brilliances,positive
smokescreen,negative
irragularity,negative
depressions,negative
aweful,negative
dangerousness,negative
despised,negative
worthwhile,positive
floundering,negative
insignificant,negative
vibrates,negative
indiscretion,negative
bravado,negative
marginally,negative
impolitic,negative
stuttered,negative
bleeding,negative
haywire,negative
crisper,positive
erudite,positive
backaches,negative
swankier,positive
mistake,negative
luxuriously,positive
ethical,positive
understandable,positive
absurdness,negative
antiquated,negative
lucrative,positive
revel,positive
It is my birthday today,positive
lapses,negative
disrespectable,negative
tingling,negative
redeem,positive
nettlesome,negative
grind,negative
antagonize,negative
motivated,positive
regret,negative
criticizing,negative
smelled,negative
earnest,positive
overstates,negative
ridiculously,negative
tattered,negative
subversively,negative
inexcusably,negative
devilment,negative
outburst,negative
I am feeling upset,negative
unproductive,negative
I am proud of myself because I represented my college in a science fair on an international level,positive
warmly,positive
heartless,negative
fast-growing,positive
wretched,negative
baffle,negative
insubordinate,negative
expropriation,negative
irreformable,negative
sag,negative
frolic,positive
impugn,negative
mishandle,negative
intolerable,negative
drag,negative
insular,negative
swanky,positive
diss,negative
gall,negative
anomalous,negative
maniac,negative
harms,negative
shimmer,negative
imposers,negative
cooperative,positive
selfish,negative
famine,negative
morality,positive
gabble,negative
wonderous,positive
exile,negative
grand,positive
logical,positive
ironical,negative
water-down,negative
downfall,negative
cruelness,negative
clamorous,negative
odder,negative
detract,negative
manipulators,negative
drips,negative
conflict,negative
glibly,negative
maturity,positive
disappointing,negative
stuffy,negative
viewable,positive
plentiful,positive
calumnies,negative
plunder,negative
alarmed,negative
I am thrilled about the new girl in class because she is from the same city from where I am and we knew each other in childhood,positive
juddering,negative
concession,negative
vicious,negative
orderly,positive
losing,negative
fat,negative
supports,positive
easiest,positive
enrich,positive
I am feeling anxious,negative
rejuvenating,positive
unreachable,negative
insolent,negative
I am feeling victorous,positive
eyesore,negative
berserk,negative
willingly,positive
drones,negative
outperform,positive
exasperating,negative
outrageously,negative
disservice,negative
sporadic,negative
deadly,negative
hectic,negative
provoke,negative
tingled,negative
ideally,positive
pertinacity,negative
pleasurable,positive
charming,positive
I had a fight,negative
offensiveness,negative
reconcile,positive
slaughtered,negative
I hate going to college,negative
far-fetched,negative
detracting,negative
maladjusted,negative
tough,positive
advantageous,positive
reluctantly,negative
babble,negative
loveliness,positive
flourishing,positive
confidence,positive
get-rich,negative
inelegance,negative
domineer,negative
dubitable,negative
smuttier,negative
magical,positive
blurring,negative
reformed,positive
relentlessly,negative
crept,negative
infuriatingly,negative
ordeal,negative
unconvincingly,negative
loner,negative
controversy,negative
admirably,positive
irregular,negative
tense,negative
bemused,negative
apathy,negative
delusions,negative
refreshing,positive
tiring,negative
coldly,negative
feasibly,positive
straining,negative
kid-friendly,positive
eminent,positive
jubiliant,positive
invigorating,positive
raped,negative
infidels,negative
exultation,positive
excruciating,negative
unusable,negative
divine,positive
craftily,negative
prominence,positive
smudges,negative
falter,negative
feebleminded,negative
ill-defined,negative
generous,positive
crowded,negative
favorited,positive
I can't concerntrate because of the illness I have which irritates me,negative
propagandize,negative
slooow,negative
glowingly,positive
imperfectly,negative
goon,negative
glisten,positive
illusions,negative
remorselessly,negative
sucked,negative
pillage,negative
subordinate,negative
ultra-crisp,positive
mock,negative
stable,positive
radicals,negative
betrayal,negative
confound,negative
mortify,negative
awkward,negative
oversight,negative
costly,negative
gaff,negative
unkindly,negative
reviled,negative
incommensurate,negative
incendiary,negative
subpoena,negative
misdirection,negative
problematic,negative
inconsistent,negative
abounds,positive
distains,negative
flicker,negative
futility,negative
spectacular,positive
oppressive,negative
audacity,negative
titillatingly,positive
smell,negative
graft,negative
believeable,positive
gimmicky,negative
slow-moving,negative
caricature,negative
mystify,negative
moribund,negative
dying,negative
downgrade,negative
exhilarate,positive
threat,negative
passe,negative
desiring,positive
respect,positive
strictly,negative
deficient,negative
defamation,negative
renunciation,negative
I am feeling vicious,negative
ironically,negative
squealing,negative
unusual,negative
ranting,negative
exhilaratingly,positive
worsening,negative
culpable,negative
died,negative
I am disappointed in myself as I cannot do daily tasks easily,negative
eloquently,positive
perfidity,negative
supremely,positive
brilliantly,positive
bonkers,negative
scant,negative
optimism,positive
allergic,negative
reconciliation,positive
champion,positive
paradoxical,negative
flabbergasted,negative
erratically,negative
thoughtlessly,negative
daring,positive
fateful,negative
I am feeling compassionate,positive
crafty,negative
encroachment,negative
fudge,negative
enjoyably,positive
inconvenience,negative
burns,negative
watered-down,negative
gripes,negative
captivate,positive
feisty,positive
brash,negative
hesitant,negative
ill-sorted,negative
squeal,negative
enjoyment,positive
admonishment,negative
lag,negative
shady,negative
divisively,negative
deceive,negative
hasty,negative
imprisonment,negative
revoke,negative
blurt,negative
intrude,negative
clamor,negative
backwood,negative
temper,negative
dismaying,negative
sinfully,negative
unquestionable,positive
dismal,negative
ignominy,negative
egregious,negative
repulsively,negative
quash,negative
steep,negative
spirited,positive
stingingly,negative
mangles,negative
oversize,negative
fainthearted,negative
sufferers,negative
quarrels,negative
grisly,negative
lovably,positive
valiant,positive
disparagingly,negative
distract,negative
forbid,negative
prompt,positive
I cannot complain about the day,positive
awed,positive
whores,negative
prudent,positive
sap,negative
unfairly,negative
nuisance,negative
misrepresent,negative
chastisement,negative
mangle,negative
ecstatic,positive
hiss,negative
exellent,positive
nagging,negative
preferring,positive
vomits,negative
disadvantageous,negative
debts,negative
I love my grandmother,positive
upsetting,negative
scuff,negative
unwelcome,negative
disrespectfully,negative
inept,negative
expel,negative
exorbitantly,negative
I am at peace after finishing my college exams for which I was preparing from last 3 months ,positive
downhearted,negative
I like going to school,positive
irrelevant,negative
shameful,negative
uprising,negative
heavy-handed,negative
assult,negative
instantly,positive
I won the first prize,positive
cheats,negative
I got appreciated by the principal today,positive
I am feeling unlucky,negative
invigorate,positive
contribution,positive
prize,positive
I am feeling dependent,negative
snobby,negative
betrays,negative
I feel like I'm on top of the world.,positive
unwise,negative
hampered,negative
dissolution,negative
ramshackle,negative
agonies,negative
disputable,negative
debaucher,negative
disagreed,negative
I am in a partying mood,positive
pleasant,positive
bountiful,positive
rockstars,positive
subjection,negative
flat-out,negative
angry,negative
I am feeling terrible,negative
assail,negative
scum,negative
amply,positive
breakups,negative
darkened,negative
incompetent,negative
sufferer,negative
weakness,negative
elated,positive
condescending,negative
tempest,negative
I am feeling relieved,positive
dissension,negative
dejection,negative
resounding,positive
relent,positive
disgustedly,negative
inundated,negative
troublemaker,negative
tenaciously,positive
manipulate,negative
rifts,negative
crippled,negative
weaken,negative
proficient,positive
grin,positive
vibration,negative
speedy,positive
crappy,negative
scolded,negative
hot,positive
huckster,negative
mind-blowing,positive
clarity,positive
exceeding,positive
accessable,positive
furious,negative
favorable,positive
amazes,positive
I feel like a winner,positive
angelic,positive
despicably,negative
annoy,negative
peculiarly,negative
jitters,negative
begging,negative
hell,negative
entertaining,positive
annoying,negative
defensive,negative
iniquitous,negative
conspicuous,negative
prestigious,positive
ruffle,negative
hollow,negative
hegemonism,negative
obscenely,negative
spiteful,negative
sues,negative
oasis,positive
burn,negative
recommended,positive
mistified,negative
scornful,negative
fulminate,negative
ridicules,negative
unproving,negative
I love my girlfriend and I am so happy I met her today after so many days,positive
wrath,negative
affirm,positive
anti-american,negative
pepped,positive
belligerently,negative
dawn,positive
fleeing,negative
jollify,positive
ghetto,negative
groundless,negative
one-sided,negative
slanderous,negative
aggravate,negative
warm,positive
incredible,positive
deter,negative
earnestness,positive
grumpily,negative
hype,negative
repugnance,negative
deviously,negative
regrettable,negative
pandering,negative
incapably,negative
gratified,positive
rift,negative
openly,positive
protest,negative
negativity,negative
respectable,positive
prosperous,positive
overthrow,negative
encourage,positive
needy,negative
nicely,positive
inconsiderate,negative
I am doing good,positive
rogue,negative
I am feeling empowered,positive
warmth,positive
elan,positive
obsess,negative
maturely,positive
happier,positive
luster,positive
viper,negative
infuriated,negative
moan,negative
fictitious,negative
barbaric,negative
scorching,negative
adorer,positive
viciousness,negative
jaw-dropping,positive
smoldering,negative
fallacies,negative
depression,negative
imaculate,positive
goofy,negative
revile,negative
arduous,negative
conciliatory,positive
stain,negative
sagacity,positive
benefits,positive
ripped,negative
vociferous,negative
bothered,negative
