response,intent
revengefully,negative
best-performing,positive
imprudent,negative
beset,negative
dies,negative
twists,negative
spellbinding,positive
overpaid,negative
appallingly,negative
commonplace,negative
clarity,positive
opportunistic,negative
mocking,negative
passe,negative
scandals,negative
misuse,negative
austere,negative
relentlessness,negative
undisputable,positive
compassionate,positive
flares,negative
shit,negative
hilarious,positive
delight,positive
forsake,negative
dissembler,negative
avaricious,negative
pandering,negative
appeal,positive
implication,negative
convienient,positive
soapy,negative
dump,negative
wearisome,negative
harmonious,positive
unbearable,negative
parody,negative
I am feeling depressed because there is nothing going right in my life. I am bad at everything ,negative
ferocity,negative
bruised,negative
demonic,negative
burned,negative
hollow,negative
irretrievable,negative
inconsistent,negative
villian,negative
dishonorable,negative
sucked,negative
slashing,negative
audaciously,negative
sceptical,negative
flickers,negative
bruising,negative
irreversible,negative
exceeds,positive
recant,negative
geekier,positive
irked,negative
fictional,negative
miscreant,negative
pampers,positive
angelic,positive
halcyon,positive
salutary,positive
forlorn,negative
crumbling,negative
challenging,negative
pervert,negative
stunned,positive
willingness,positive
commiserate,negative
reasonable,positive
my teacher is the worst  because she did not give me the president post even when she knew that I was the most deserving person for that position,negative
graceless,negative
superiority,positive
brainy,positive
I am feeling punished,negative
indignation,negative
penalize,negative
malady,negative
ignoble,negative
i met my girlfriend today,positive
overzelous,negative
tamper,negative
famine,negative
aground,negative
exorbitantance,negative
extraordinary,positive
womanizer,negative
accusations,negative
madly,negative
succumb,negative
excitedness,positive
drastically,negative
odor,negative
truthfully,positive
obtainable,positive
ripped,negative
rapt,positive
poverty,negative
divisively,negative
I am depressed,negative
doubtful,negative
majestic,positive
wail,negative
eccentric,negative
misbecoming,negative
excelled,positive
I am feeling rejected,negative
win,positive
desirable,positive
disquietingly,negative
adversarial,negative
earnestly,positive
unbeatable,positive
noxious,negative
ill-used,negative
excruciatingly,negative
unwelcome,negative
dark,negative
saver,positive
I love the acknowledgement which I get for my work,positive
temper,negative
impede,negative
keenness,positive
ineptitude,negative
displeasure,negative
checkered,negative
barbarous,negative
dragging,negative
madder,negative
spurious,negative
sincere,positive
congratulate,positive
aggression,negative
effectively,positive
implacable,negative
sagged,negative
pig,negative
stinging,negative
abound,positive
banishment,negative
braggart,negative
easygoing,positive
hypocrites,negative
good,positive
groundless,negative
disillusion,negative
misfit,negative
defiantly,negative
squeals,negative
incorrigible,negative
clearer,positive
winners,positive
invalidate,negative
life-threatening,negative
killjoy,negative
unimaginable,negative
saintly,positive
unpopular,negative
Today was waste day as nothing productive came out of it,negative
suspicion,negative
awfulness,negative
beseech,negative
martyrdom-seeking,negative
resentment,negative
neat,positive
hardship,negative
illicit,negative
blurt,negative
liberation,positive
expensive,negative
fashionable,positive
concession,negative
rumor,negative
I am feeling delighted,positive
miracles,positive
confusions,negative
hostilities,negative
flimsy,negative
gems,positive
egotistically,negative
sin,negative
insignificantly,negative
assassin,negative
deadweight,negative
rantingly,negative
titillatingly,positive
morbidly,negative
guidance,positive
disses,negative
wack,negative
shamefully,negative
goood,positive
outstanding,positive
frigid,negative
susceptible,negative
dissapointed,negative
joke,negative
stolen,negative
feign,negative
vouch,positive
dirty,negative
facilitate,positive
ruinous,negative
instrumental,positive
enthusiastic,positive
charming,positive
insufficiently,negative
overtaking,positive
immorally,negative
incorrect,negative
tense,negative
harangue,negative
pittance,negative
celebrate,positive
I am feeling calm,positive
tauntingly,negative
impasse,negative
positive,positive
virtuous,positive
pertinacious,negative
calming,positive
undefined,negative
I had a bad match today,negative
repression,negative
humiliation,negative
wrip,negative
obscures,negative
unfortunately,negative
shortcoming,negative
unusable,negative
corruption,negative
fibber,negative
clear,positive
rogue,negative
fuzzy,negative
radiance,positive
perturbed,negative
mashed,negative
suffered,negative
scrambled,negative
sour,negative
belittling,negative
wickedness,negative
craftly,negative
flees,negative
unsecure,negative
bland,negative
exonerate,positive
spookiest,negative
insignificance,negative
capricious,negative
enfeeble,negative
spiteful,negative
combust,negative
delicious,positive
unusual,negative
disordered,negative
donside,negative
creep,negative
puppet,negative
humming,negative
prejudge,negative
effusively,positive
whooa,positive
sweeping,positive
heretical,negative
suppression,negative
recovery,positive
unconditional,positive
mediocrity,negative
weep,negative
succeeding,positive
gainful,positive
itchy,negative
indulge,negative
distrustful,negative
swift,positive
crashing,negative
sue,negative
recomend,positive
hater,negative
graciously,positive
empowerment,positive
grievously,negative
unabashedly,positive
die,negative
prickles,negative
demoralizingly,negative
preferring,positive
indefensible,negative
undermining,negative
rash,negative
hardened,negative
plusses,positive
biases,negative
disliking,negative
I am the worst,negative
mediocre,negative
multi-purpose,positive
impassioned,positive
dashing,positive
strictly,negative
upheaval,negative
oversimplification,negative
I am feeling powerful,positive
disbeliever,negative
luster,positive
amiss,negative
pamperedly,positive
accomplish,positive
overrated,negative
capriciously,negative
indiscreet,negative
swagger,negative
incongruously,negative
implausibly,negative
uncompromisingly,negative
uproariously,negative
respectfully,positive
nuisance,negative
unruly,negative
bountiful,positive
affectionate,positive
awestruck,positive
smooth,positive
losers,negative
delirious,negative
bewitch,negative
partisan,negative
swanky,positive
conscons,negative
opposition,negative
inundated,negative
daunt,negative
dextrous,positive
rip-off,negative
escapade,negative
insinuation,negative
detrimental,negative
mispronounces,negative
stammer,negative
laid-off,negative
hiliarious,negative
commendable,positive
autonomous,positive
dishonor,negative
excitingly,positive
paucity,negative
admonishingly,negative
instantly,positive
famished,negative
loser,negative
upgraded,positive
shame,negative
encroach,negative
disrespectablity,negative
god-given,positive
pale,negative
prestigious,positive
burden,negative
scorn,negative
odd,negative
turbulent,negative
lengthy,negative
defunct,negative
inhumane,negative
bereave,negative
prosper,positive
lier,negative
everyone hates me because I belong to a different community than the majority,negative
inconsequently,negative
scars,negative
sneer,negative
confessions,negative
stimulates,positive
fooled,negative
revolutionizes,positive
extravagantly,negative
apathetically,negative
traitor,negative
mindless,negative
leverage,positive
speedily,positive
rot,negative
weaker,negative
I am frustated because while coming back from college today some one picked my pocket and my phone too,negative
bravery,positive
sh*t,negative
bedlam,negative
savagery,negative
fiend,negative
criticism,negative
perversity,negative
exaltedly,positive
masterpieces,positive
uncompetitive,negative
tolerable,positive
addict,negative
scoff,negative
intrude,negative
louder,negative
poisonously,negative
fans,positive
saint,positive
screw-up,negative
wowed,positive
I am ugly. Everyone in my class is fair and handsome or beautiful but I am not,negative
magnificent,positive
patriotic,positive
indiscretion,negative
insidiously,negative
condemnation,negative
I had a big fight with  my boyfriend about a very silly reason,negative
hottest,positive
harboring,negative
brutal,negative
junk,negative
excellent,positive
prodigious,positive
I got fired,negative
blow,negative
languorous,negative
mist,negative
distrust,negative
fatuous,negative
dissidents,negative
neatly,positive
appropriate,positive
My bestfriend sat with me for a long long time and we talked about life and much more. It was so fun with him.,positive
oversights,negative
desiring,positive
misrepresent,negative
cashbacks,positive
Everyone hates me,negative
incompliant,negative
chaste,positive
dungeon,negative
creepy,negative
frantically,negative
lose,negative
subvert,negative
accost,negative
wreaked,negative
affirmation,positive
merry,positive
curt,negative
moronic,negative
fallacies,negative
streaky,negative
frustratingly,negative
sexy,positive
imposition,negative
undocumented,negative
ecstatic,positive
glare,negative
skeptically,negative
honest,positive
discontinuous,negative
clogs,negative
self-sufficiency,positive
I had a big fight with  my girlfriend about a very silly reason,negative
anti-american,negative
humility,positive
tension,negative
blind,negative
unsupportive,negative
cruel,negative
wonder,positive
warmth,positive
reject,negative
wretchedness,negative
retarded,negative
dinky,negative
refuses,negative
mockeries,negative
celebration,positive
fecilitous,positive
poise,positive
unclean,negative
abscond,negative
rip,negative
tedious,negative
wicked,negative
fallen,negative
thrifty,positive
cranky,negative
irresolvable,negative
mysteriously,negative
pest,negative
fervidly,positive
infest,negative
hypocritical,negative
I am ugly and that is why no one wants to talk to me,negative
deceitfulness,negative
peaceable,positive
illuminate,positive
lavishly,positive
triumphantly,positive
strange,negative
liking,positive
hacks,negative
exquisitely,positive
succeeds,positive
adjustable,positive
appreciative,positive
dissuade,negative
illusory,negative
sob,negative
loveliness,positive
hasty,negative
bashful,negative
procrastination,negative
contaminate,negative
starvation,negative
strained,negative
crumble,negative
disinterest,negative
weird,negative
I feel lively after playing today after many years because I used to love football and I lost touch with it when I joined college,positive
pugnacity,negative
regretful,negative
frustrate,negative
polluter,negative
flirt,negative
bum,negative
lecherous,negative
suspect,negative
sack,negative
protest,negative
preferes,positive
trouble,negative
blistering,negative
martyrdom,negative
dizzing,negative
asperse,negative
patience,positive
ashamed,negative
disgust,negative
excited,positive
laughingstock,negative
extremism,negative
shirk,negative
scarier,negative
hassle,negative
ill-formed,negative
I am feeling purposeless,negative
scared,negative
warlike,negative
I am happy as I was first my semester exams due to my hardwork which I was doing the whole semester,positive
supremely,positive
depressed,negative
unlucky,negative
pretence,negative
unsettling,negative
lower-priced,positive
harshly,negative
bashing,negative
rejoicing,positive
people talk behind my back about me and make fun of me as no one realy likes me or even wants to talk to me,negative
applaud,positive
enrapture,positive
messy,negative
malicious,negative
welcome,positive
unfit,negative
flicering,negative
contortions,negative
unintelligile,negative
denunciation,negative
over-hyped,negative
outstrip,positive
fidget,negative
perverse,negative
enjoyable,positive
sincerely,positive
bash,negative
laud,positive
impolitic,negative
dusty,negative
layoff-happy,negative
shiny,positive
overdone,negative
bomb,negative
remunerate,positive
sham,negative
helpful,positive
fertile,positive
exuberant,positive
delaying,negative
truthfulness,positive
conceded,negative
disproportionate,negative
inconsistencies,negative
inadequacy,negative
moron,negative
invincible,positive
hiss,negative
infidel,negative
fright,negative
sinfully,negative
grandeur,positive
glory,positive
villainous,negative
weirdly,negative
FALSE,negative
appalled,negative
feint,negative
inconceivable,negative
liberty,positive
shrill,negative
ignorance,negative
stellar,positive
burn,negative
alarmed,negative
flatteringly,positive
fib,negative
miraculousness,positive
unemployed,negative
reluctance,negative
doubts,negative
usurper,negative
downsides,negative
stab,negative
I am lonely. No one wants to be my friend,negative
derisive,negative
scrambling,negative
contaminated,negative
well-rounded,positive
vibrated,negative
denigrate,negative
battered,negative
passion,positive
nightmarishly,negative
incompetently,negative
resolute,positive
trump,positive
waning,negative
indeterminably,negative
enraged,negative
trivially,positive
non-violence,positive
versatile,positive
languish,negative
steadiest,positive
enlightenment,positive
miscellaneous,negative
I met my girlfriend and she brought my favourite movie and my favourite ice cream,positive
direly,negative
misreading,negative
gullible,negative
negligent,negative
pinch,negative
vibrates,negative
blessing,positive
explode,negative
oblivious,negative
maladjusted,negative
admirable,positive
I am feeling guilty,negative
bullying,negative
childish,negative
ilu,positive
foolproof,positive
buggy,negative
fondly,positive
I am feeling angry,negative
counter-productive,negative
symptom,negative
disgrace,negative
lambaste,negative
credence,positive
I am feeling lost,negative
gratify,positive
ill-conceived,negative
smelly,negative
classy,positive
slump,negative
disadvantages,negative
womanizing,negative
imperiously,negative
dawdle,negative
valiant,positive
fret,negative
prohibitive,negative
hysterical,negative
arbitrary,negative
vexation,negative
wellbeing,positive
impetuous,negative
frazzled,negative
aver,positive
craps,negative
spew,negative
propaganda,negative
audible,positive
peculiarly,negative
timely,positive
reconcile,positive
ineffectualness,negative
defeat,positive
jabber,negative
harmless,positive
capriciousness,negative
hairloss,negative
better-than-expected,positive
meddle,negative
fearful,negative
scold,negative
helping,positive
suffering,negative
brutalizing,negative
deploring,negative
droops,negative
run-down,negative
irresponsible,negative
disconcertingly,negative
nosey,negative
conflicted,negative
angriness,negative
disintegration,negative
congratulations,positive
nasty,negative
humane,positive
victimize,negative
lucky,positive
desolately,negative
stimulate,positive
fraught,negative
resourceful,positive
peacekeepers,positive
suffer,negative
torturously,negative
convincingly,positive
excoriate,negative
brash,negative
disheartening,negative
amuse,positive
contrariness,negative
eloquent,positive
dumbfound,negative
magnanimous,positive
misses,negative
aggrieved,negative
I love myself,positive
misbegotten,negative
mushy,negative
destitute,negative
spookier,negative
shabby,negative
debility,negative
favorited,positive
brightest,positive
uncivil,negative
smartest,positive
jolly,positive
cunt,negative
well-known,positive
sucker,negative
roomier,positive
prompt,positive
jubiliant,positive
spirited,positive
dangerousness,negative
plush,positive
effusive,positive
deceiver,negative
grand,positive
forfeit,negative
oversimplified,negative
boom,positive
shortsightedness,negative
efficient,positive
ridiculous,negative
firmer,positive
inadvisably,negative
pricier,negative
inequalities,negative
diatribes,negative
tarnishing,negative
genuine,positive
indifference,negative
taut,negative
junkyard,negative
maliciously,negative
finer,positive
swelling,negative
distress,negative
shaky,negative
knowledgeable,positive
entertains,positive
I am feeling unsatisfied,negative
steals,negative
abuse,negative
top-quality,positive
handicapped,negative
dehumanization,negative
thug,negative
goodly,positive
preferably,positive
unwell,negative
nourishing,positive
exult,positive
numb,negative
My teacher loved my work,positive
castigate,negative
crass,negative
I am ashamed of myself after I refused to help that elderly couple just because I thought what people will say,negative
fallaciousness,negative
innovation,positive
euphorically,positive
disapointment,negative
ineligible,negative
deteriorating,negative
luminous,positive
refuse,negative
magnificence,positive
dumbfounded,positive
rejoice,positive
burdensomely,negative
idiots,negative
cumbersome,negative
deft,positive
integrated,positive
miss,negative
entrapment,negative
kudos,positive
frighten,negative
cripples,negative
aggressive,negative
fretful,negative
disdainfully,negative
petty,negative
I feel unworthy as I never get rewarded for my hardwork,negative
disoriented,negative
contort,negative
aggravating,negative
heretic,negative
interruption,negative
throbbed,negative
taunt,negative
throbbing,negative
irritations,negative
unsuccessful,negative
antagonism,negative
counter-attack,positive
high-priced,negative
sharply,negative
raping,negative
wounds,negative
recalcitrant,negative
I am excited for the trip,positive
scornfully,negative
tacky,negative
shunned,negative
I am feeling motivated after listenting to my father on the importance of hardwork and studies. He also told me his life story,positive
uninformed,negative
aggrieve,negative
illustrious,positive
inconsequential,negative
unsteadily,negative
crumples,negative
sanctimonious,negative
slaves,negative
involuntary,negative
get-rich,negative
spotty,negative
No one loves me,negative
glorious,positive
exhilarate,positive
roadblocks,negative
acrid,negative
manipulation,negative
inaccurately,negative
viper,negative
painlessly,positive
unreliable,negative
smelling,negative
tingle,positive
melodramatically,negative
stylishly,positive
adulterier,negative
civility,positive
fault,negative
depraved,negative
paupers,negative
I am happy as my parent are proud of me as I saved an elderly couple from being robbed by protecting them,positive
supportive,positive
flashy,positive
intimidating,negative
touchy,negative
stupidest,negative
substantive,positive
risk-free,positive
dejection,negative
I am feeling Excited,positive
repulsiveness,negative
dishonesty,negative
I had a good match today,positive
rife,negative
bleakness,negative
neurotically,negative
faithfully,positive
ostracize,negative
upsettingly,negative
peace,positive
gasp,negative
enlighten,positive
magnificently,positive
immaterial,negative
illiterate,negative
spilling,negative
ebullience,positive
oppressive,negative
strong,positive
statuesque,positive
sluggish,negative
unresolved,negative
vileness,negative
stymied,negative
rewardingly,positive
I belong to a different community and that is why no one wants to talk to me,negative
lorn,negative
cooperative,positive
exasperation,negative
prosperous,positive
swank,positive
smoldering,negative
fucking,negative
smitten,positive
